iter	Passed	Remaining
0	71	71575
1	81	40848
2	93	30915
3	103	25698
4	113	22574
5	123	20539
6	134	19079
7	144	17936
8	155	17082
9	165	16369
10	175	15793
11	185	15282
12	195	14876
13	206	14516
14	217	14267
15	229	14096
16	240	13882
17	250	13649
18	260	13434
19	270	13251
20	281	13117
21	291	12964
22	301	12797
23	311	12653
24	321	12530
25	331	12435
26	341	12320
27	354	12291
28	365	12231
29	375	12137
30	385	12056
31	395	11971
32	406	11899
33	417	11848
34	428	11802
35	437	11725
36	447	11647
37	457	11587
38	467	11519
39	477	11457
40	487	11393
41	497	11336
42	506	11273
43	516	11229
44	526	11181
45	536	11129
46	546	11081
47	557	11048
48	566	11003
49	577	10974
50	589	10961
51	600	10953
52	613	10959
53	625	10952
54	636	10933
55	647	10910
56	657	10879
57	668	10860
58	679	10829
59	689	10801
60	699	10760
61	708	10720
62	718	10692
63	729	10670
64	739	10638
65	749	10601
66	758	10566
67	768	10534
68	778	10500
69	787	10468
70	797	10437
71	808	10415
72	820	10413
73	829	10381
74	839	10354
75	849	10328
76	859	10298
77	868	10269
78	878	10237
79	887	10210
80	898	10189
81	908	10166
82	917	10142
83	927	10118
84	937	10093
85	947	10072
86	957	10049
87	967	10023
88	976	9996
89	986	9971
90	995	9945
91	1005	9923
92	1015	9907
93	1027	9902
94	1037	9888
95	1047	9868
96	1057	9847
97	1067	9828
98	1077	9804
99	1087	9785
100	1100	9796
101	1113	9806
102	1125	9798
103	1137	9795
104	1148	9786
105	1158	9770
106	1168	9753
107	1178	9731
108	1187	9710
109	1197	9686
110	1206	9660
111	1215	9638
112	1226	9629
113	1238	9621
114	1247	9603
115	1257	9581
116	1267	9567
117	1277	9545
118	1287	9528
119	1296	9510
120	1306	9488
121	1315	9469
122	1325	9450
123	1335	9433
124	1344	9413
125	1354	9394
126	1364	9378
127	1374	9364
128	1384	9347
129	1394	9329
130	1404	9317
131	1413	9297
132	1423	9281
133	1435	9274
134	1445	9259
135	1454	9242
